Variable name,Definition
borb_matchtask_visit,The participant has to tell if 2 lines are perfectly parallel or not.
borb_matchtask_date,
borb_matchtask_instrument,
borb_matchtask_age_in_months,
borb_matchtask_page1_score,Out of 8
borb_matchtask_page2_score,Out of 8
borb_matchtask_page3_score,Out of 8
borb_matchtask_page4_score,Out of 6
borb_matchtask_total_score,Use this score. Out of 30
borb_matchtask_page1_response1,Correct: Same
borb_matchtask_page1_response2,Correct: Different
borb_matchtask_page1_response3,Correct: Same
borb_matchtask_page1_response4,Correct: Same
borb_matchtask_page1_response5,Correct: Different
borb_matchtask_page1_response6,Correct: Same
borb_matchtask_page1_response7,Correct: Same
borb_matchtask_page1_response8,Correct: Different
borb_matchtask_page2_response1,Correct: Different
borb_matchtask_page2_response2,Correct: Same
borb_matchtask_page2_response3,Correct: Different
borb_matchtask_page2_response4,Correct: Same
borb_matchtask_page2_response5,Correct: Same
borb_matchtask_page2_response6,Correct: Same
borb_matchtask_page2_response7,Correct: Different
borb_matchtask_page2_response8,Correct: Different
borb_matchtask_page3_response1,Correct: Same
borb_matchtask_page3_response2,Correct: Same
borb_matchtask_page3_response3,Correct: Same
borb_matchtask_page3_response4,Correct: Same
borb_matchtask_page3_response5,Correct: Different
borb_matchtask_page3_response6,Correct: Different
borb_matchtask_page3_response7,Correct: Different
borb_matchtask_page3_response8,Correct: Same
borb_matchtask_page4_response1,Correct: Different
borb_matchtask_page4_response2,Correct: Different
borb_matchtask_page4_response3,Correct: Different
borb_matchtask_page4_response4,Correct: Different
borb_matchtask_page4_response5,Correct: Same
borb_matchtask_page4_response6,Correct: Different
aggies_visit,"The participant has to learn a list of 15 simple figures. There are 5 learning trials followed by 1 trial with a different list. Afterward, the first list has to be identified in 3 recall/recognition trials."
aggies_date,
aggies_instrument,
aggies_age_in_months,
aggies_trial_a1_correct,Number of correct recalls in the 1st learning trial out of 15
aggies_trial_a1_intrusion,Number of items drawn that don't correspond to any stimulus in the list
aggies_trial_a1_repetition,Number of items drawn twice
aggies_trial_a2_correct,2nd learning trial
aggies_trial_a2_intrusion,2nd learning trial
aggies_trial_a2_repetition,2nd learning trial
aggies_trial_a3_correct,3rd learning trial
aggies_trial_a3_intrusion,3rd learning trial
aggies_trial_a3_repetition,3rd learning trial
aggies_trial_a4_correct,4th learning trial
aggies_trial_a4_intrusion,4th learning trial
aggies_trial_a4_repetition,4th learning trial
aggies_trial_a5_correct,5th learning trial
aggies_trial_a5_intrusion,5th learning trial
aggies_trial_a5_repetition,5th learning trial
aggies_trial_b1_correct,List B correct recalls
aggies_trial_b1_intrusion,List B recalls not from list B
aggies_trial_b1_repetition,List B repetitions
aggies_trial_a6_correct,Immediate recall score
aggies_trial_a6_intrusion,Recalls not from list A
aggies_trial_a6_repetition,List A repetitions
aggies_trial_a7_correct,Delayed recall score
aggies_trial_a7_intrusion,Recalls not from list A
aggies_trial_a7_repetition,List A repetitions
aggies_list_a_total_correct_recognition,Number of list A items that were recognized  out of 15
aggies_list_b_total_correct_recognition,Number of list B items that were recognized out of 15
aggies_total_false_positive,Number of false recognitions out of 22 distractors
aggies_trial_a1_response_1,Identification of the 1st item drawn right after learning trial 1
aggies_trial_a2_response_1,Identification of the 1st item drawn after learning trial 2
aggies_trial_a3_response_1,Trial 3
aggies_trial_a4_response_1,Trial 4
aggies_trial_a5_response_1,Trial 5
aggies_trial_a1_response_2,Identification of the 2st item drawn after learning trial 1
aggies_trial_a2_response_2,Identification of the 1st item drawn after learning trial 2
aggies_trial_a3_response_2,Trial 3
aggies_trial_a4_response_2,Trial 4
aggies_trial_a5_response_2,Trial 5
aggies_trial_a1_response_3,Etc
aggies_trial_a2_response_3,
aggies_trial_a3_response_3,
aggies_trial_a4_response_3,
aggies_trial_a5_response_3,
aggies_trial_a1_response_4,
aggies_trial_a2_response_4,
aggies_trial_a3_response_4,
aggies_trial_a4_response_4,
aggies_trial_a5_response_4,
aggies_trial_a1_response_5,
aggies_trial_a2_response_5,
aggies_trial_a3_response_5,
aggies_trial_a4_response_5,
aggies_trial_a5_response_5,
aggies_trial_a1_response_6,
aggies_trial_a2_response_6,
aggies_trial_a3_response_6,
aggies_trial_a4_response_6,
aggies_trial_a5_response_6,
aggies_trial_a1_response_7,
aggies_trial_a2_response_7,
aggies_trial_a3_response_7,
aggies_trial_a4_response_7,
aggies_trial_a5_response_7,
aggies_trial_a1_response_8,
aggies_trial_a2_response_8,
aggies_trial_a3_response_8,
aggies_trial_a4_response_8,
aggies_trial_a5_response_8,
aggies_trial_a1_response_9,
aggies_trial_a2_response_9,
aggies_trial_a3_response_9,
aggies_trial_a4_response_9,
aggies_trial_a5_response_9,
aggies_trial_a1_response_10,
aggies_trial_a2_response_10,
aggies_trial_a3_response_10,
aggies_trial_a4_response_10,
aggies_trial_a5_response_10,
aggies_trial_a1_response_11,
aggies_trial_a2_response_11,
aggies_trial_a3_response_11,
aggies_trial_a4_response_11,
aggies_trial_a5_response_11,
aggies_trial_a1_response_12,
aggies_trial_a2_response_12,
aggies_trial_a3_response_12,
aggies_trial_a4_response_12,
aggies_trial_a5_response_12,
aggies_trial_a1_response_13,
aggies_trial_a2_response_13,
aggies_trial_a3_response_13,
aggies_trial_a4_response_13,
aggies_trial_a5_response_13,
aggies_trial_a1_response_14,
aggies_trial_a2_response_14,
aggies_trial_a3_response_14,
aggies_trial_a4_response_14,
aggies_trial_a5_response_14,
aggies_trial_a1_response_15,
aggies_trial_a2_response_15,
aggies_trial_a3_response_15,
aggies_trial_a4_response_15,
aggies_trial_a5_response_15,
aggies_time_ended,Nonsense
aggies_time_began,Madness
aggies_time_elapsed_since_immediate_recall_mins,Time interval between the end of the 5th learning trial and the delayed recall trial (a7)
aggies_trial_b1_response_1,Successful recall of item 1 during the list B trial
aggies_trial_a6_response_1,Item 1 recall during the immediate recall
aggies_trial_a7_response_1,Item 1 recall during the delayed recall
aggies_trial_b1_response_2,etc
aggies_trial_a6_response_2,
aggies_trial_a7_response_2,
aggies_trial_b1_response_3,
aggies_trial_a6_response_3,
aggies_trial_a7_response_3,
aggies_trial_b1_response_4,
aggies_trial_a6_response_4,
aggies_trial_a7_response_4,
aggies_trial_b1_response_5,
aggies_trial_a6_response_5,
aggies_trial_a7_response_5,
aggies_trial_b1_response_6,
aggies_trial_a6_response_6,
aggies_trial_a7_response_6,
aggies_trial_b1_response_7,
aggies_trial_a6_response_7,
aggies_trial_a7_response_7,
aggies_trial_b1_response_8,
aggies_trial_a6_response_8,
aggies_trial_a7_response_8,
aggies_trial_b1_response_9,
aggies_trial_a6_response_9,
aggies_trial_a7_response_9,
aggies_trial_b1_response_10,
aggies_trial_a6_response_10,
aggies_trial_a7_response_10,
aggies_trial_b1_response_11,
aggies_trial_a6_response_11,
aggies_trial_a7_response_11,
aggies_trial_b1_response_12,
aggies_trial_a6_response_12,
aggies_trial_a7_response_12,
aggies_trial_b1_response_13,
aggies_trial_a6_response_13,
aggies_trial_a7_response_13,
aggies_trial_b1_response_14,
aggies_trial_a6_response_14,
aggies_trial_a7_response_14,
aggies_trial_b1_response_15,
aggies_trial_a6_response_15,
aggies_trial_a7_response_15,
aggies_recognition_response_1,Was item 1 identified as having been seen before. This is a distractor
aggies_recognition_response_12,From list B
aggies_recognition_response_23,From list B
aggies_recognition_response_34,This is a distractor.
aggies_recognition_response_45,From list B
aggies_recognition_response_2,This is a distractor.
aggies_recognition_response_13,This is a distractor.
aggies_recognition_response_24,From list A
aggies_recognition_response_35,From list A
aggies_recognition_response_46,This is a distractor.
aggies_recognition_response_3,From list A
aggies_recognition_response_14,From list A
aggies_recognition_response_25,This is a distractor.
aggies_recognition_response_36,This is a distractor.
aggies_recognition_response_47,From list B
aggies_recognition_response_4,This is a distractor.
aggies_recognition_response_15,From list A
